Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Luminosity,AB_Mag,Weight,Distance (pc)
spoc-s02,SPOC,2760710,227.01,PC,356.5277,-16.6912,356.5273567,-16.69146353,14.277,0.059,1364.102069,0.002061,5.3,,1.51,,30400,,[2],The second event is not real. single transit (no period).,5.20628,0.340459,1,0.128,0.019,2.432614,,187.3235245,2808,80,0.290998187,11.973635,3.51E+30,14.71925768,0.3,100
qlp-s08-ffi,QLP,141227133,617.01,PC,129.315412,-47.383549,129.315369,-47.38348965,10.19,0.016,1518.70004,0.00114,2.42232,0.00022,2.873,0.212,5696.52,10.2883,[8],TFOP NEB; centroid offset,,,1,,,,,1044,2838,162,197.858,63,0,10.63225768,0.3,100
spoc-s01-s36-b02-L1,SPOC,44898913,4306.01,PC,64.12984082,-28.31470963,64.13090961,-28.31579089,14.2683,0.0075572,1413.191882,0.001072491,2.729904885,1.20E-05,0.825728847,0.3995385,7427.724966,1003.2614,"[4, 5, 31, 32]",potential stellar variability; low SNR,5.15917,0.0427824,1,0.155497998,0.00468671,1.351360634,0.77290535,362.1910146,2887,157,4.06697675,8.324998,5.79E+30,14.71055768,0.3,100
spoc-s01-s36-b02-L1,SPOC,62301521,4341.01,PC,291.5358263,-43.18246012,291.5348943,-43.18718779,13.7827,0.00766299,1661.048552,0.009240395,18.40433341,0.012458659,7.879330953,0.83414465,9135.211016,1085.6766,"[13, 27]",even transit looks better than odd; low SNR,5.22041,0.0557763,1,0.133376002,0.00396582,1.283443274,0.16381204,182.7961243,2891,157,0.263869343,7.571882,4.29E+30,14.22495768,0.3,100
spoc-s01-s46-b0A,SPOC,434105094,4506.01,PC,354.4097,-12.8412,354.4106252,-12.84252965,13.427,0.059,1357.517521,0.000670703,5.410714562,9.60E-06,0.643939741,0.19262587,23563.39838,2715.4675,"[2, 29, 42]",v-shaped; low SNR,5.14513,0.477512,1,0.185012996,0.00588037,2.890286585,0.62937737,299.4471278,2938,93,1.900210043,8.9943695,8.80E+30,13.86925768,0.3,100
spoc-s01-s36-b0A-CPKP,SPOC,181804752,736.01,CP,165.6915,-16.4062,165.6904843,-16.4064445,13.508,0.059,2285.014805,0.001133525,4.989903154,7.78E-06,1.101834268,0.11890712,17472.88846,807.272,"[9, 36]",LP 791-18 c / TOI 736.01,5.14315,0.410207,1,0.171430007,0.00518929,2.283532257,0.22025356,312.0573896,2940,67,2.241087878,20.562578,7.57E+30,13.95025768,0.3,100
spoc-s01-s36-b0A-CPKP,SPOC,181804752,736.02,CP,165.6915,-16.4062,165.6904843,-16.4064445,13.508,0.059,1543.55772,0.000734085,0.947995059,1.45E-05,0.581069831,0.2512231,4275.063323,564.387,"[9, 36]",LP 791-18 b,5.14315,0.410207,2,0.171430007,0.00518929,1.20107306,0.45076677,542.8291387,2940,67,20.51982301,9.884826,7.57E+30,13.95025768,0.3,100
spoc-s01-s36-b0A-PC,UNKNOWN,244161191,278.01,PC,4.8831,-5.9113,4.883561931,-5.911561425,13.099,0.059,1381.775526,0.000313345,0.298730996,5.82E-06,0.621620457,0.105019316,6605.102931,448.7647,"[3, 30]",likely SV,5.13527,0.496238,1,0.300639004,0.00921362,2.526862188,0.42984232,944.8228634,2955,95,188.331332,15.121655,2.38E+31,13.54125768,0.3,100
spoc-s14-b02,SPOC,274762761,1256.01,PC,301.3475332,38.23080798,301.3463633,38.22832534,13.5608,0.00762882,1683.947476,0.004218996,1.033244114,0.000323808,3.801783635,0.3347664,26111.5082,1959.5728,"[14, 15]",TFOP FP,5.15741,0.0425173,1,0.156193,0.00469252,4.087988019,8.41243,516.1833775,2972,157,16.77787914,8.785042,6.56E+30,14.00305768,0.3,100
spoc-s18-b02,SPOC,51024887,1632.01,PC,42.15414606,62.18970895,42.15518838,62.18925968,14.9885,0.010916,1797.344998,0.004051263,8.249187145,0.003199519,4.980784657,0.34420857,117724.0283,11101.498,[18],Check neighbors,5.13581,0.0381304,1,0.165066,0.0050239,8.047698365,35.753082,264.4172054,2990,158,1.155260289,16.019594,7.51E+30,15.43075768,0.3,100
spoc-s01-s39-b0A-PC,SPOC,135036669,2640.01,PC,150.2733626,-52.43582758,150.2732024,-52.43579584,15.709,0.00812288,2307.40102,0.004426174,0.911220602,8.03E-05,2.003082005,0.20044203,71047.56397,4714.7026,"[36, 37]",,4.95462,0.00770906,1,0.274906993,0.0089431,7.393180263,0.5033327,645.1250281,2999,157,40.93516693,12.526064,2.11E+31,16.15125768,0.3,100
spoc-s42-s46-b0A,SPOC,94727308,4622.01,PC,60.22653874,31.69109337,60.2265596,31.69106667,16.1779,0.00908849,2474.773371,0.005853055,1.29694039,0.000273601,3.430166742,0.3676931,52197.50054,4905.2676,"[43, 44]",likely faint M dwarf host; low SNR,4.76981,0.0148368,1,0.463183999,0.0211904,11.28603419,0.9806869,672.4915576,3003,157,48.33573736,10.462735,6.02E+31,16.62015768,0.3,100
qlp-s63-faintsearch,QLP,142277868,6508.01,PC,180.7664062,-33.6653495,180.7642687,-33.6655003,14.309,0.008,3038.984559,3.09E-05,18.9926881,7.00E-07,1.506,0.001,223710,1028.65,"[37, 63]",found in faint-star QLP search,5.05,0.02,1,0.21,0.01,10.231,0.309282,179,3003,157,0.172006,56,1.24E+31,14.75125768,0.3,100
spoc-s06-b02,SPOC,32830028,549.01,PC,86.7522,-24.8422,86.75218183,-24.84264223,14.31,0.059,1468.344415,0.000477,0.516278,2.10E-05,0.565611,0.106334,20289.21082,1032.7452,[6],marginal signal,5.10976,0.525773,1,0.169,0.037,2.442348,0.6369,679.6154071,3009,97,50.41663609,18.210543,8.07E+30,14.75225768,0.3,100
spoc-s01-s36-b0A-PC,SPOC,146846569,734.01,PC,160.8914,-44.6224,160.8896359,-44.62181542,14.995,0.059,1545.448503,0.000286243,4.753521455,3.90E-06,1.067857958,0.027705913,230434.9827,13974.003,"[9, 10, 36]",A 6sigma secondary. V-shaped. Likely EB.,5.10976,0.525773,1,0.201279998,0.00623173,11.84936219,21.278698,324.1330753,3010,97,2.608641509,38.594772,1.15E+31,15.43725768,0.3,100
spoc-s06-b02,SPOC,438490744,529.01,PC,100.256,16.5896,100.2559648,16.58879543,14.277,0.059,1468.4958,0.002003,1.665878,0.000283,4.956738,0.144742,85643.9861,2600.0479,[6],,5.10725,0.532457,1,0.172,0.038,6.98229,5.428897,463.5504123,3021,97,10.91211385,19.085302,8.50E+30,14.71925768,0.3,100
spoc-s14-s60-b0A-PC,SPOC,459837008,2267.01,PC,65.05217189,84.90176636,65.06149634,84.90082377,12.2591,0.00735012,1816.152459,0.00083268,3.495042222,8.66E-06,1.03113421,0.112701,2004.426903,204.97464,"[19, 20, 25, 26, 40, 52, 53, 59, 60]",low MES,4.99625,0.013126,1,0.242744997,0.00799628,1.273442257,0.1111988,400.3206181,3022,157,6.069498883,10.658578,1.69E+31,12.70135768,0.3,100
spoc-s14-s60-b0A-PC,SPOC,459837008,2267.02,PC,65.05217189,84.90176636,65.06149634,84.90082377,12.2591,0.00735012,1817.092481,0.00109077,2.034436634,1.19E-05,0.958247972,0.3105621,1142.099427,181.06494,"[19, 20, 25, 26, 40, 52, 53, 59, 60]",potential multi,4.99625,0.013126,2,0.242744997,0.00799628,0.90110603,0.33940813,479.450797,3022,157,12.4881234,7.8030243,1.69E+31,12.70135768,0.3,100
spoc-s14-s60-b0A-PC,SPOC,459837008,2267.03,PC,65.05217189,84.90176636,65.06149634,84.90082377,12.2591,0.00735012,1818.073212,0.000846526,2.289102668,1.00E-05,0.834403242,0.48361093,1384.622855,206.64485,"[19, 20, 25, 26, 40, 52, 53, 59, 60]",potential multi with 3:2 resonance,4.99625,0.013126,3,0.242744997,0.00799628,0.913140381,1.3255601,460.9675388,3022,157,10.67093258,7.2280383,1.69E+31,12.70135768,0.3,100
spoc-s01-s36-b0A-CPKP,UNKNOWN,200322593,540.01,CP,76.310149,-47.937629,76.30969486,-47.93753907,11.483,0.017,2175.141647,0.000952436,1.239153364,4.90E-06,0.488774921,0.11378676,2318.659441,132.73195,"[4, 5, 6, 31, 32]",TOI-540 b,4.438,0,1,0.197117001,0.00592568,0.965470636,0.41618714,550.2321395,3042,0,21.66231261,17.89114,1.15E+31,11.92525768,0.3,100
spoc-s01-s36-b0A-CPKP,SPOC,410153553,136.01,PC,340.4921,-69.169,340.4962038,-69.17210811,11.877,0.064,1325.724661,0.000156443,0.462930687,3.87E-06,0.631015387,0.02220172,4677.673602,171.68126,"[1, 27, 28]",LHS 3844 b,5.09707,0.426694,1,0.188623995,0.00571031,1.517197252,0.061799914,723.3720467,3043,63,64.70947717,38.885654,1.05E+31,12.31925768,0.3,100
spoc-s01-s39-b0A-PC,SPOC,360156606,1227.01,PC,186.76803,-72.45179,186.7673635,-72.45185009,13.757,0.017,1617.476078,0.003183296,27.36334303,0.000199931,4.140108972,0.35928208,21652.14981,1720.5153,"[11, 12, 38]",now have stellar radius,4.438,0,1,0.441280007,0.013263,6.544832485,0.5408184,243.7660188,3050,0,0.834475633,12.302529,5.81E+31,14.19925768,0.3,100
spoc-s01-s36-b0A-PC,UNKNOWN,89256802,457.01,PC,58.7249,-26.4237,58.72535568,-26.42341136,13.801,0.273,1411.560535,0.000502465,1.175983449,4.59E-06,0.992833798,0.07082115,14881.47961,1248.4495,"[4, 31]",v-shaped,5.08962,0.539242,1,0.512880981,0.0158325,7.719355859,2.4524143,768.6592267,3054,97,82.50046198,19.41962,7.89E+31,14.24325768,0.3,100
spoc-s32-b0A,UNKNOWN,77951245,450.01,PC,79.004939,-31.412704,79.00508772,-31.41269397,12.375,0.018,2182.487384,0.000435894,10.71486613,0.000597887,2.112158419,0.046092685,56325.91737,1176.411,"[5, 6, 32]",TFOP APC; retired as SB2,4.438,0,1,0.422267,0.0127167,14.03755399,5.989421,339.8915287,3054,0,3.154150152,72.45309,5.35E+31,12.81725768,0.3,100
spoc-s01-s39-b0A-PC,SPOC,271971130,715.01,PC,113.851073,-73.577469,113.8523276,-73.57740886,13.527,0.017,1327.551316,0.00173638,19.28797174,5.55E-05,2.092318529,0.25845242,4598.481626,270.41656,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39]",M dwarf host,4.438,0,1,0.229824007,0.0068728,1.594664307,0.25002378,235.0426567,3075,0,0.721286413,16.709684,1.63E+31,13.96925768,0.3,100
spoc-s06-b02,SPOC,53593457,543.01,PC,100.306,-3.9255,100.3060936,-3.925831082,15.183,0.06,1468.332102,0.003362,0.530893,0.000146,1.910177,0.234509,33453.5972,3058.0403,[6],possible secondary,5.0795,0.549539,1,0.193,0.044,3.747202,0.900232,714.0192388,3085,99,61.42719108,9.624941,1.16E+31,15.62525768,0.3,100
spoc-s64-b02,SPOC,166145361,6599.01,PC,205.9228,-40.0415,205.9239282,-40.04187415,12.033,0.262,3041.770755,0.001220098,2.205916718,0.00020835,0.939516863,0.14634532,2594.738362,264.6818,[64],variable star; L1 candidate; low SNR,5.07767,0.432141,1,0.202096999,0.00603832,1.036920832,0.31069762,449.4361398,3087,64,9.642573734,8.125701,1.28E+31,12.47525768,0.3,100
spoc-s14-s60-b0A-PC,SPOC,286201103,6008.01,PC,310.4476808,49.64670796,310.4487344,49.64689915,12.2936,0.00747079,1711.372904,0.000504771,0.857372698,1.40E-05,0.547859808,0.10237745,2045.709122,270.04935,"[15, 16, 41, 55, 56]",sub-Earth candidate,5.00721,0.0168336,1,0.235047996,0.00699863,1.246547836,0.15803361,649.3272227,3098,157,42.01220201,8.719756,1.75E+31,12.73585768,0.3,100
spoc-s14-s60-b0H,SPOC,446157122,6245.01,PC,88.70302411,80.09464274,88.69925254,80.09461372,12.133,0.00732086,1818.754695,0.000872473,3.214993742,1.04E-05,0.702266441,0.40231752,1438.82974,201.83324,"[19, 20, 26, 40, 52, 53, 59, 60]",possible odd-even; low MES; M-dwarf host; possibly Eaarth-sized,5.00517,0.0163985,1,0.236457005,0.00708549,0.904427175,1.3004019,419.7777463,3106,157,7.338353832,8.336911,1.79E+31,12.57525768,0.3,100
qlp-s56-faintsearch,QLP,44295981,6137.01,PC,343.6509643,24.0970391,343.6511053,24.09697203,14.516,0.007,2852.35875,5.06E-05,0.520403,9.00E-07,0.995,0.001,143020,909.418,[56],found in faint-star QLP search,4.83,0,1,0.4,0.01,21.8226,0.694402,984,3112,157,155.949,103,5.18E+31,14.95825768,0.3,100
spoc-s01-s36-b0A-CPKP,SPOC,120916706,263.01,PC,37.1081,-25.0974,37.10827668,-25.09732855,15.851,0.062,2116.147851,0.001080279,0.55680953,8.87E-06,0.9712066,0.08280766,45140.53504,3374.4705,"[3, 30]",verified planet candidate,5.06043,0.562987,1,0.439738005,0.0167967,9.687022864,0.67014873,999.3239856,3116,101,235.6927628,15.559053,6.29E+31,16.29325768,0.3,100
spoc-s01-s36-b0A-CPKP,SPOC,92226327,256.01,KP,11.247108,-15.271294,11.24863201,-15.27410853,11.238,0.07,1399.928643,0.001120759,24.73734116,0.000140537,2.069050977,0.12742876,6560.492087,296.41574,"[3, 30]",LHS-1140 b,5.05701,0,1,0.215535,0.00655817,1.843945309,0.114572965,157.0898896,3131,0,0.14391761,19.97876,1.54E+31,11.68025768,0.3,100
spoc-s01-s36-b0A-CPKP,SPOC,92226327,256.02,KP,11.247108,-15.271294,11.24863201,-15.27410853,11.238,0.07,2141.100488,0.0017719,3.777941752,8.52E-06,1.475932517,0.09515379,3469.450739,430.44,"[3, 30]",LHS-1140c,5.05701,0,2,0.215535,0.00655817,1.565993718,0.20743896,394.3844097,3131,0,5.717418154,17.645792,1.54E+31,11.68025768,0.3,100
qlp-s48-tois,SPOC,67646988,1779.01,KP,147.7690653,35.96929602,147.7685281,35.96855623,12.4368,0.00744837,2633.119867,0.0003654,1.8817191,9.00E-07,1.236,0,99270,0.740199,"[21, 48]",LP 261-75 b; BD from Irwin et al. 2018 with measured mass,4.91873,0.00487072,1,0.31,0.01,10.9698,0.330624,606,3138,157,22.5072,111,3.21E+31,12.87905768,0.3,100
spoc-s02,SPOC,305048087,237.01,PC,353.2427,-29.4151,353.2435381,-29.41648703,13.458,0.042,1355.24981,0.00261,5.433729,0.001053,1.172585,0.472631,6530.706532,843.5729,[2],low MES.,5.04944,0.547167,1,0.214,0.049,1.741587,0.971689,344.3778811,3139,98,3.324007539,7.68747,1.53E+31,13.90025768,0.3,100
spoc-s01-s39-b0A-PC,UNKNOWN,32090583,218.01,PC,58.42027,-68.739532,58.42200087,-68.73862842,13.551,0.064,1325.540192,0.003001698,0.438446154,6.57E-05,0.528132707,0.7551207,202.8555123,167.94867,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39]",Bad transit shape; likely SV,4.438,0,1,0.284538001,0.0085297,0.43895225,1.8726066,900.9733201,3146,0,155.7287238,19.743402,2.73E+31,13.99325768,0.3,100
spoc-s01-s39-b0A-PC,SPOC,394357918,4184.01,PC,43.8266,-79.4154,43.82847492,-79.41470394,14.37,0.059,1326.789691,0.001186786,4.90199384,1.40E-05,1.32438037,0.2470788,10774.95121,947.59814,"[1, 28, 39]",small star,5.04654,0.551884,1,0.240806997,0.00741195,2.555414528,0.43741205,382.3996541,3147,99,5.05348481,11.158407,1.96E+31,14.81225768,0.3,100
spoc-s01-s36-b0A-PC,SPOC,268914377,2610.01,PC,118.049989,-48.49862148,118.0499092,-48.49859747,15.8953,0.00883525,2229.716478,0.002271201,2.153895941,0.000162685,2.177694335,0.11854182,96363.09266,5937.473,"[34, 35]",weak centroid offset not centered on another star; crowded field; SG1 should clear neighbors,4.75166,0.0141944,1,0.483749002,0.0205474,16.0166732,1.006073,603.8106997,3148,157,31.41407093,17.857132,7.93E+31,16.33755768,0.3,100
qlp-s51-faintsearch,QLP,103865797,5695.01,PC,242.1544419,19.2533763,242.1544704,19.25324759,14.24,0.008,2740.631465,0.0017479,2.2232698,0.000159,0.648,0.236,31700,1284.8,[51],found in faint-star QLP search,4.87,0,1,0.36,0.01,9.36074,1.4427,419,3157,157,5.11732,15,4.44E+31,14.68225768,0.3,100
qlp-s50-tois,QLP,202468443,5268.01,PC,229.0062709,62.7183462,229.00618,62.71825898,14.598,0.007,2690.596819,0.00012,2.0685871,1.00E-06,0.598,0,38060,1.17599,"[41, 48, 49, 50]",found in faint-star QLP search; slightly v-shaped,4.92,0,1,0.31,0.01,12.5176,0.383319,438,3162,157,6.13725,28,3.31E+31,15.04025768,0.3,100
spoc-s01-s46-b0A,SPOC,212957629,2406.01,CP,8.805080749,-3.370635456,8.806054421,-3.372083299,14.3109,0.007448,2475.946047,0.002495921,3.076682753,1.29E-05,1.260399278,0.1418781,18996.40797,1150.9419,"[30, 42, 43]",TOI-2406 b now confirmed (Wells et al. 2021),5.0701,0.0262291,1,0.196600005,0.00604985,2.778595468,0.24439844,410.2984283,3163,157,6.697618639,14.266813,1.33E+31,14.75315768,0.3,100
spoc-s42-s46-b02,SPOC,323687123,5557.01,PC,137.2035608,11.86142089,137.2015437,11.86225027,12.4289,0.00729936,2502.343272,0.002085991,4.017905263,0.000183094,0.994953341,0.49963605,2834.828893,326.53687,"[44, 45, 46]",potential L1 planet; low SNR; also observed by K2,5.07428,0.027277,1,0.194356993,0.00588941,1.042104792,0.9590356,374.408209,3166,157,4.644109492,8.73516,1.31E+31,12.87115768,0.3,100
qlp-s65-faintsearch,QLP,148691985,6626.01,PC,231.0251326,-39.9093036,231.0250333,-39.90939339,14.619,0.009,3092.410385,0.0011416,1.2864856,9.83E-05,1.328,0.077,104433,5061.15,[65],found in faint-star QLP search,4.79,0.01,1,0.45,0.01,14.0003,0.616245,728,3172,157,46.706,32,7.07E+31,15.06125768,0.3,100
qlp-s44-faintsearch,QLP,90767677,5359.01,PC,54.0658592,30.2060366,54.06605181,30.2059301,14.814,0.008,2522.004048,0.0031504,1.6817287,0.0001363,0.491,0.297,15870,3189.61,"[42, 43, 44]",found in faint-star QLP search,4.76,0.01,1,0.47,0.02,9.28931,2.93309,436,3174,157,6.00664,9,7.73E+31,15.25625768,0.3,100
qlp-s53-tois,QLP,160162137,5575.01,PC,241.2495369,85.2041584,241.2485386,85.20472432,14.013,0.008,2747.65944,1.76E-05,32.0736228,1.00E-06,2.347,0.003,145640,866.394,"[41, 47, 52, 53]",found in faint-star QLP search; period updated to ~32 days with additional TCE found in QLP s53,5,0.02,1,0.24,0.01,9.48121,0.285814,195,3176,157,0.243503,77,2.02E+31,14.45525768,0.3,100
spoc-s14-s55-b0A-PC,SPOC,389900760,2120.01,PC,23.50413325,65.51491568,23.50731505,65.51398774,12.8233,0.00738306,1795.822874,0.000997145,5.799818888,1.40E-05,1.014374011,0.101210885,8567.339022,1317.3026,"[18, 24, 25, 52]",Short V-shaped transit. Multiple stars in pixel.,4.99978,0.0153626,1,0.240233004,0.00728193,2.634612429,0.39226365,354.6027378,3179,157,3.736709528,13.711875,2.03E+31,13.26555768,0.3,100
spoc-s14-s55-b0H,SPOC,12938488,5977.01,PC,298.5425491,26.87897318,298.5425739,26.87893627,14.6343,0.00794743,2419.98927,0.000577519,0.431712366,7.44E-06,0.867416387,0.12435173,19454.20654,1327.4862,"[41, 54, 55]",possible phase modulations,4.66041,0.0118629,1,0.589139998,0.0187465,8.494281947,0.9163717,1115.436039,3180,157,365.8471618,13.067723,1.22E+32,15.07655768,0.3,100
spoc-s59-b0A,SPOC,470381900,1696.01,CP,65.28056346,48.81991372,65.28064801,48.81983115,13.9664,0.00730068,2911.832125,0.002119704,2.500529098,0.000370647,0.880986495,0.3441977,12579.35048,1583.843,"[19, 59]",TOI-1696 b,4.94798,0.00806131,1,0.280474991,0.00857285,3.171385325,1.1981618,491.6465759,3181,157,13.80807309,7.788581,2.78E+31,14.40865768,0.3,100
qlp-s59-faintsearch,QLP,274002141,6368.01,PC,86.9751828,41.9428699,86.97530321,41.94232738,14.585,0.008,2935.162255,2.40E-05,1.6197991,1.00E-06,0.95,0.002,31095,756.875,[59],found in faint-star QLP search,4.92,0,1,0.31,0.01,11.4253,0.367142,661,3192,157,31.7825,12,3.44E+31,15.02725768,0.3,100
qlp-s49-tois,QLP,86263325,3884.01,PC,181.5726544,12.5069127,181.5718341,12.50702576,12.911,0.007,2656.499824,0.0007065,4.5445569,7.20E-06,1.462,0.06,30740,10.5317,"[22, 46, 49]",found in faint-star QLP search; possible in transit ramp,4.92,0.01,1,0.3,0.01,5.7177,0.201745,429,3192,157,5.65747,36,3.22E+31,13.35325768,0.3,100
spoc-s01-s39-b0A-PC,UNKNOWN,369327947,910.01,PC,290.2261,-82.5545,290.2379403,-82.55978831,10.266,0.062,2389.145721,0.0010217,2.02908819,5.85E-06,0.693981245,0.22118875,978.0627035,72.98734,"[12, 13, 27, 39]",potential L1 planet; epoch is from qlp-s39-tois; all other parameters are from spoc-s01-s39 multisector,4.96718,0.069791,1,0.287497014,0.00950598,0.92914718,0.69685763,552.8129815,3194,101,22.07160591,15.433505,2.97E+31,10.70825768,0.3,100
qlp-s64-ffi,QLP,463070290,3064.01,PC,152.9921564,-59.7537201,152.9921067,-59.75370795,10.432,0.029,3067.257704,0.0010318,0.6771668,1.00E-06,1.4,0.16,1095,52.669,"[9, 10, 36, 37, 63, 64]",found in faint-star QLP search; likely red giant host which would make planet impossible at alerted period,,,1,,,,,1185,3194,122,328.225,28,0,10.87425768,0.3,100
spoc-s32-b02,SPOC,4294779,2451.01,PC,81.31267187,-0.770744971,81.31267598,-0.770748168,15.8552,0.00839509,2174.475148,0.001608305,0.343889186,4.46E-05,0.969606906,0.2804137,24850.39538,3023.77,[32],some stellar variability; high proper motion,4.70217,0.0173915,1,0.540483,0.0238973,8.561117894,1.8986349,1174.242267,3199,157,449.3159514,7.7705545,1.06E+32,16.29745768,0.3,100
qlp-s39-faintsearch,QLP,213111428,5023.01,PC,257.1238163,-51.5314,257.1237687,-51.531661,14.958,0.008,2386.471282,1.73E-05,2.2749988,9.00E-07,0.632,0,68800,1.32978,[39],found in faint-star QLP search,4.9,0,1,0.32,0.01,17.0496,0.531341,398,3199,157,4.17143,9,3.70E+31,15.40025768,0.3,100
spoc-s01-s36-b0A-CPKP,UNKNOWN,101955023,667.01,KP,153.7157,-47.1567,153.7090696,-47.15493577,10.938,0.059,2280.989404,0.000884501,1.6289322,3.78E-06,0.809275953,0.09636562,2512.119245,97.33358,"[9, 10, 36]",GJ 1132 b,4.86375,0,1,0.226407006,0.00697427,1.214566424,0.15818869,545.7126746,3202,0,20.95931886,25.76042,1.86E+31,11.38025768,0.3,100
spoc-s44-b02,SPOC,434226736,5095.01,KP,63.27338946,15.24778161,63.27393457,15.24770266,13.0275,0.00754018,2501.774068,0.001088255,3.484752826,0.000294937,0.717181277,0.2384122,11341.74045,1026.7719,[44],K2-25 b,4.93668,0.00702832,1,0.290215999,0.00869257,3.113798595,1.0545624,447.8058034,3204,157,9.503418883,11.066787,3.06E+31,13.46975768,0.3,100
spoc-s57-b0A,SPOC,236785891,5956.01,PC,283.3171692,59.81747504,283.3172665,59.81765731,15.762,0.00900641,2853.83173,0.001440935,0.9292334,8.12E-05,0.983716029,0.13126242,45240.8421,3386.5818,"[56, 57]",V-shaped; large; young host star; ~5 sigma odd-even in SPOC s57,4.74975,0.00989926,1,0.485926002,0.0165041,10.60799144,0.9516801,815.2828522,3207,157,104.4129181,12.116851,8.61E+31,16.20425768,0.3,100
qlp-s31-faintsearch,QLP,142938659,4668.01,PC,52.6471645,-35.2036955,52.6473533,-35.20371496,13.837,0.008,2169.299411,0.0033847,1.0049552,0.0002556,0.92,0.749,8600,1173.8,[31],V-shaped; found in faint-star QLP search,4.81,0,1,0.42,0.01,5.19137,1.60086,787,3210,157,63.8249,16,6.46E+31,14.27925768,0.3,100
spoc-s14s19-b02,SPOC,420112587,1760.01,PC,290.1738721,73.19634575,290.1739761,73.19599323,12.4989,0.00767763,1691.531496,0.003781858,11.06266598,0.000489709,2.084215646,0.30094072,4957.878094,704.5552,"[14, 15, 16, 17, 19]",v-shaped; close visual binary,4.98029,0.0125638,1,0.254522,0.00770836,2.643702142,4.0930066,293.8838939,3212,157,1.762885654,10.327715,2.38E+31,12.94115768,0.3,100
spoc-s42-s46-b0A,SPOC,184892124,5090.01,KP,130.6643334,19.4144163,130.6641654,19.41435975,16.0573,0.00812442,2552.222387,0.001527174,1.982751512,3.70E-05,1.212913024,0.06079615,137107.154,5712.9497,"[44, 45, 46]",AD 3116 b; 54 Mjup BD (Gillen+2017),4.93347,0.00109246,1,0.293047011,0.0116176,11.29542952,0.58791214,543.4757464,3213,157,20.61776914,25.374565,3.16E+31,16.49955768,0.3,100
spoc-s14-s60-b0A-PC,SPOC,157769780,5735.01,PC,147.1244839,77.38928866,147.1250258,77.3897478,12.2822,0.00740383,1683.544649,0.001127958,2.12081555,1.17E-05,0.842776353,0.20975694,1148.877324,168.8344,"[14, 20, 26, 40, 47, 60]",low SNR,5.0449,0.0224654,1,0.210907996,0.00636699,0.83784404,0.14815171,483.360368,3222,157,12.90045879,7.801814,1.65E+31,12.72445768,0.3,100
qlp-s51-tois,SPOC,368287008,2015.01,PC,232.1329251,27.36079764,232.1326528,27.36107305,12.8387,0.00731908,2712.928909,0.0029226,3.3491408,1.60E-05,1.207,0.25,7210,4050.29,"[24, 51]",Some odd-even,4.89993,0.00294439,1,0.32,0.01,5.37673,2.27494,657,3223,157,31.0153,10,3.81E+31,13.28095768,0.3,100
spoc-s01-s36-b0A-PC,SPOC,218795833,519.01,PC,124.607,-19.6629,124.6067582,-19.66279179,14.533,0.059,1491.871966,0.000150827,1.265244519,1.00E-06,1.317871474,0.018965987,108411.4008,1510.2803,"[7, 34]",TOI519b,5.00457,0.531516,1,0.35530901,0.0109591,12.16639301,0.3946811,691.3370434,3225,100,53.985896,95.899445,4.71E+31,14.97525768,0.3,100
spoc-s01-s39-b0A-PC,SPOC,38680052,2208.01,PC,65.52869501,-61.36872785,65.52881239,-61.36859048,15.7438,0.00846302,2362.153557,0.000538578,0.674345303,1.06E-06,0.901041281,0.016499588,103652.0706,2057.6394,"[27, 28, 29, 31, 35, 36, 37, 38, 39]",V-shaped; some odd-even,4.90232,0.000940672,1,0.321846008,0.0108865,12.47166127,2.2434363,804.0969257,3228,157,98.79946856,68.97647,3.88E+31,16.18605768,0.3,100
spoc-s01-s39-b0A-PC,SPOC,165827520,3494.01,PC,204.393082,-37.18338646,204.3919661,-37.18345826,12.295,0.0074422,2310.020628,0.002044769,7.748611962,2.23E-05,1.374336859,0.34596077,5124.980809,450.5409,"[11, 37]",potential L1 candidate,4.91717,0.00480017,1,0.307821006,0.00918622,2.216882761,0.79533786,351.9088621,3230,157,3.624447527,10.69108,3.56E+31,12.73725768,0.3,100
qlp-s65-faintsearch,QLP,167573692,6601.01,PC,101.5690233,-62.3478005,101.5681271,-62.34740185,14.648,0.009,3131.942667,0.0009822,32.5444769,5.27E-05,1.661,0.119,101822,5388.26,"[31, 35, 36, 37, 39, 61, 62, 63, 64, 65]",found in faint-star QLP search,4.84,0,1,0.38,0.01,11.9952,0.573561,167,3230,157,0.130568,25,5.42E+31,15.09025768,0.3,100
