Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Luminosity,AB_Mag,Weight,Distance (pc)
spoc-s14-s55-b0A-KP,SPOC,158170594,1240.01,KP,286.1103154,43.68093099,286.1103053,43.6809612,13.8046,0.0062,2421.32991,0.001790196,1.720855451,2.63E-06,1.834640915,0.08741208,10014.25874,316.96338,"[14, 26, 40, 41, 53, 55]",Kepler-412 b,4.20893,0,1,1.334020019,0,13.46463141,0.70833164,1758.399429,5832.83,96.06,2259.389668,34.395763,7.10E+33,14.24685768,0.3,100
spoc-s14-s55-b0A-KP,SPOC,76419763,2135.01,KP,274.4054698,36.62143572,274.4055335,36.62146168,11.3998,0.006,2414.394742,0.0002515,2.788472266,1.01E-06,2.9462464,0.01782826,14467.6854,72.36582,"[26, 40, 53, 54]",HAT-P-5 b,4.35385,0.0853583,1,1.129559994,0.0628719,13.94326447,0.77938974,1377.402036,5833,144.943,850.6754194,214.61458,5.09E+33,11.84205768,0.3,100
qlp-s57-tois,QLP,316453500,3954.01,PC,323.9851778,61.209144,323.9851283,61.20910699,13.336,0.016,2878.252241,0.0018717,3.4043154,7.10E-06,0.805,0.357,9317,25499.5,"[16, 17, 24, 57]",V-shaped; found in faint-star QLP search; possibly synchronized; variable host; possible ~2000 ppm secondary at half phase,4.46,,1,1,,20.3568,,909,5833,123,113.665,13,3.99E+33,13.77825768,0.3,100
qlp-s50-tois,QLP,357373216,3901.01,PC,218.3364381,52.3860798,218.3365421,52.38597208,13.322,0.007,2681.957257,0.0014656,9.546972,2.18E-05,2.112,0.174,17300,15.7849,"[16, 22, 23, 49, 50]",found in faint-star QLP search,4.54,,1,0.91,,12.4743,,672,5834,122,33.8682,30,3.31E+33,13.76425768,0.3,100
qlp-s52-tois,QLP,232603560,4108.01,PC,257.6674068,60.0284205,257.6673878,60.02846762,11.982,0.008,2762.974572,0.0039618,14.4348737,8.14E-05,6.023,1.268,1640,3.28599,"[14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 52, 54]",found in faint-star QLP search; possible odd-even; two stars in pixel,3.89,0.08,1,1.93,0.1,8.117,0.555657,1073,5834,131.8,220.777,28,1.49E+34,12.42425768,0.3,100
spoc-s01-s36-b0A-PC,SPOC,283307274,2558.01,PC,128.245816,-25.256277,128.2457899,-25.25624497,11.623,0.018,2233.129864,0.002180439,17.78376329,0.003042259,4.276145944,0.19614369,6450.914242,224.80434,"[8, 34, 35]",Only two transits but period can't be half; potential odd-even,4.25,2.01,1,1.383949995,0,11.92894498,0.39742237,805.3780383,5834,249.9,99.43061663,25.651674,7.65E+33,12.06525768,0.3,100
spoc-s14-s41-b0A-PC,SPOC,158241252,4443.01,PC,274.2688995,21.90943334,274.2686643,21.90954586,7.9147,0.006,2415.15198,0.0028258,1.849856678,1.48E-05,2.518275976,0.18107398,195.4102498,15.124655,"[26, 40]",potential L1 planet; inconsistent centroid between sectors; bright host; possible multi,4.44433,0.0782619,1,1.01733005,0.0490452,1.719326482,0.13466027,1499.304894,5834,128.702,1194.210365,12.050691,4.13E+33,8.356957675,0.3,100
qlp-s05-faintsearch,QLP,169448297,2720.01,PC,77.2771021,-12.6353514,77.27714878,-12.63530517,12.474,0.007,2199.697082,0.0039721,2.1473577,1.37E-05,2.706,0.294,2300,2.88579,"[5, 32]",found in faint-star QLP search,3.81,0.08,1,2.12,0.11,10.0889,0.657217,1680,5834,124.7,1324.12,17,1.80E+34,12.91625768,0.3,100
spoc-s14-s41-b0A-PC,SPOC,158241252,4443.02,PC,274.2688995,21.90943334,274.2686643,21.90954586,7.9147,0.006,2393.257825,0.00289694,10.30887241,8.48E-05,2.276364463,0.26711896,372.3295802,32.95236,"[26, 40]",possible multi; bright host,4.44433,0.0782619,2,1.01733005,0.0490452,2.212284105,0.36691362,845.6661185,5834,128.702,120.8695,9.93305,4.13E+33,8.356957675,0.3,100
qlp-s49-faintsearch,QLP,284592754,5643.01,PC,186.0784989,44.23152,186.0782504,44.23156829,12.325,0.007,2644.889804,0.0021831,17.1101127,0.0032404,2.631,0.243,8560,8.47233,[49],found in faint-star QLP search; period may be half,4.47,0.07,1,0.99,0.05,9.37745,0.546688,572,5834.7,116.5,17.8387,17,3.92E+33,12.76725768,0.3,100
